feature,mean_abs_shap
V91,1.7974000622420383
V48,1.360355950728267
V30,1.3360008161710781
V49,1.2098500539565789
V76,1.1284775818448944
V302,1.1226077359614162
V63,1.055387369594053
V75,1.0513738322727886
V90,1.0379215901284142
V69,1.035683199506743
V73,1.017731655403291
V35,0.9463631235193788
V59,0.8930684053434065
V84,0.8920892089565259
C14,0.8336425675402496
V7,0.7925237799748205
V10,0.7686443490555434
V130,0.7644754594971703
V92,0.7395567363007833
V18,0.7286300946223585
V287,0.6701783580840017
V74,0.6614904232539226
V36,0.652838551747581
V33,0.6285063392671245
V43,0.6039774999910033
V42,0.6013991719782439
P_emaildomain_gmail.com,0.592982615571587
V29,0.5760340078597328
V22,0.5629297105831353
V50,0.5354605977111775
V11,0.5291205732645397
V310,0.4992343208217742
V292,0.4953997239275146
V304,0.49382722808970003
D4,0.4919867266017546
V34,0.481511838484487
V71,0.4741339581297527
V70,0.4565247513921724
V156,0.45099101842241734
V53,0.44915808750306463
D3,0.44509107221178734
D2,0.43772672329264084
V9,0.4324817048256413
V284,0.428707305165724
V40,0.4190667447626211
V131,0.41651649344539504
card6_debit,0.41650074887665917
V100,0.4010184031289686
V197,0.3955931898363422
P_emaildomain_yahoo.com,0.38791266666762103
V5,0.3821672000422301
V44,0.3810429376550019
D1,0.3702570221045503
V45,0.3629160109258702
ProductCD_W,0.36065284606320713
V106,0.35995371717914637
card4_visa,0.35929858526060077
V321,0.3545772464354887
V283,0.35413473875290635
V61,0.34394262314324214
V19,0.34129984609663117
V21,0.33488778248581647
V218,0.3285935386940338
V64,0.32794715717628137
V58,0.3276092597421185
V17,0.3210164931410235
V39,0.3154465943698544
C11,0.3145703618060738
V31,0.3129034690908634
V54,0.30806178903442183
ProductCD_C,0.3009657347622418
V6,0.29952330857211634
V32,0.29498673594679636
V171,0.2943615671814012
V3,0.29415663061877995
V160,0.2867181255430365
V188,0.2861830906287152
V151,0.28331305146019375
V157,0.2804040498174849
V315,0.27752475574760205
D7,0.2665590092612091
V288,0.26472449637789747
V244,0.2598443069650823
V152,0.2585642765176781
V258,0.2564026384906299
V224,0.2561438726899595
V313,0.2500789497219463
V236,0.24952193260539327
C9,0.24892258452547486
V222,0.24590475596891428
V144,0.23856216414733786
V291,0.23701554182971338
V170,0.23661754657089257
V255,0.23631132032105667
V125,0.23625024919223417
V228,0.2353729018615667
V257,0.2334358388966735
V290,0.23116190129351064
V85,0.22988676181559956
Day_of_Week,0.22984600511520603
V200,0.2259726034546218
M3_T,0.22376572288214647
M6_T,0.22301591755023173
V2,0.22180558594696326
V148,0.21955893876267552
V176,0.21798734891481547
V8,0.2176899993486245
V254,0.21468858656269293
V13,0.21385184019482523
V230,0.2129486164621575
V232,0.2092282535163084
V136,0.20876201273547243
V185,0.20584885370242903
V282,0.20549262051654354
V154,0.2018874734540993
V20,0.20125662867632313
V233,0.19299723960044474
V221,0.19263321652972024
V227,0.19088906661714447
V239,0.18968722007498345
V72,0.18492563950323984
V250,0.18416746767888273
V146,0.18272184258654797
V231,0.18131343718031762
V135,0.18038194465564136
M5_F,0.17791515461161606
D8,0.17594575528986348
V181,0.17518374902503134
V217,0.17486130212805936
M8_T,0.17472684029231692
V303,0.1723485551815998
V201,0.16929076331931955
V249,0.1689795910373289
ProductCD_R,0.1687940149318976
V57,0.16804385083675388
C6,0.16528930696938068
V137,0.1604312279693271
V299,0.15695220406277058
V77,0.15321483033176794
M4_M0,0.151866473719773
V123,0.1518151932993231
Hour_of_Day,0.15132977323927074
V175,0.1469373763516386
M6_F,0.1454281997371286
card3,0.14472929960838743
V155,0.1442103133136572
P_emaildomain_aol.com,0.14193598190983114
V251,0.14127258896149422
V82,0.13875286337822224
V297,0.13850872138417203
V242,0.1376336386410541
V285,0.13447068835872275
card1,0.13348257348281403
V129,0.13163227767803362
V116,0.12808921923538305
V243,0.12582768514652912
V296,0.12558048842769184
V339,0.12502069459341164
V86,0.12460903836658123
V142,0.12403981810220883
