col_name,feature_importance_vals
num__V14,0.13255340386506306
num__V12,0.062016790707323785
num__V4,0.05670759346017211
num__V10,0.0371199197578833
num__V17,0.02650713755702536
num__V11,0.024878344343290344
num__V3,0.024739716763815603
num__V1,0.021458027532432422
num__V7,0.01492095838743058
num__V8,0.013429429462933518
num__Hour_of_Day,0.011722729616585542
num__Day_of_Week,0.011190731466325793
num__V18,0.00797636340507681
num__Amount,0.006626108260175006
num__V26,0.005434381162340682
num__V22,0.005425000768877208
num__V21,0.0049830518805401664
num__V13,0.004938036641264413
num__V9,0.004510275325890424
num__V24,0.004437592318092114
num__V28,0.004399240058788823
num__V23,0.004357705130072436
num__V5,0.004333097917475529
num__V16,0.0037467131637334305
num__V20,0.003566974974210485
num__V15,0.0032757796575987497
num__V2,0.0032487986548794365
num__V25,0.0029166926459944023
num__V27,0.0027415231107945975
num__V19,0.0025370130620350393
num__V6,0.002519582235189069
num__Is_Weekend,0.0
