col_name,feature_importance_vals
num__V17,4.628896167689029
num__V14,4.381146138298338
num__V10,3.810017073627556
num__V12,3.6879037431541524
num__V1,2.2168114794486073
num__V4,2.0500503394953293
num__V16,1.5415028328425153
num__V5,1.4501450690934776
num__Day_of_Week,1.2150325335377246
num__V11,0.8717426696420951
num__Amount,0.8295526501380668
num__V9,0.6857675927846314
num__V22,0.6398242473420219
num__V7,0.5574474839071095
num__V2,0.5246965010327177
num__V13,0.42146813527749705
num__V6,0.4169215285832235
num__V18,0.41322937681267596
num__V20,0.40162275170717543
num__Hour_of_Day,0.3886754886527582
num__V26,0.34575474915366533
num__V8,0.32273490806227334
num__V19,0.19501818751116295
num__V25,0.15846483020875737
num__V23,0.13562111093957516
num__V21,0.11935270482985699
num__V28,0.09810880490651085
num__V3,0.09409495656748809
num__V27,0.06598644782941301
num__V15,0.061843999211754215
num__V24,0.039046695746005285
num__Is_Weekend,0.0
